Sample	posterior	ESS(posterior)	likelihood	prior	
288000	-109404.26029161138	2.4	-109658.77271210378	254.51242049239426	
289000	-109393.97213549305	2.4	-109646.5211031589	252.54896766585335	
290000	-109393.00126151566	2.4	-109645.93997800049	252.93871648483025	
291000	-109403.53339337475	2.4	-109655.86992502517	252.33653165042284	
292000	-109404.45871937557	2.4	-109655.3374695816	250.87875020603437	
293000	-109395.55580900318	2.4	-109650.00379654704	254.4479875438541	
294000	-109399.67388885986	2.4	-109652.59962739605	252.92573853617884	
295000	-109402.1886089735	2.4	-109654.04327887631	251.8546699028126	
296000	-109400.35540346435	2.4	-109651.74119801432	251.38579454997802	
297000	-109402.8353468609	2.4	-109652.79679579264	249.9614489317464	
298000	-109398.48273220629	2.4	-109645.09026820489	246.60753599859933	
299000	-109394.65841343663	2.4	-109645.42333039534	250.76491695870504	
300000	-109400.30327475208	2.4	-109656.83910152549	256.53582677340916	
301000	-109391.15325793992	2.4	-109646.34777307145	255.19451513153123	
302000	-109389.50704949093	2.4	-109642.03428361872	252.52723412779162	
303000	-109399.46693118247	2.4	-109651.72295413913	252.25602295666184	
304000	-109390.57497936813	2.4	-109645.0181162634	254.4431368952688	
305000	-109390.37036263471	2.4	-109641.7167015962	251.34633896149847	
306000	-109388.57200871418	2.4	-109643.98675938866	255.41475067448002	
307000	-109392.63991901683	2.3	-109646.04081056971	253.4008915528813	
308000	-109384.90603237115	2.3	-109638.2386498698	253.33261749865937	
309000	-109384.08689414673	2.3	-109636.96202048354	252.87512633680316	
310000	-109378.06161827856	2.3	-109632.0319801499	253.97036187133682	
311000	-109391.29867790954	2.3	-109644.02155400168	252.72287609214217	
312000	-109395.26221537044	2.3	-109646.74957823865	251.4873628682114	
313000	-109390.44283560787	2.3	-109643.3817068293	252.93887122143323	
314000	-109384.60318779717	2.3	-109635.79503405387	251.19184625669374	
315000	-109384.44509336684	2.3	-109637.19373537182	252.74864200498322	
316000	-109392.10842725953	2.3	-109644.09035139858	251.98192413905264	
317000	-109400.05956015388	2.3	-109653.37024062639	253.3106804725082	
318000	-109388.42548324708	2.3	-109643.21866311041	254.79317986333652	
319000	-109386.54521977075	2.3	-109639.80154383018	253.25632405943296	
320000	-109380.06540957715	2.3	-109634.7547224961	254.68931291896158	
321000	-109386.21086921313	2.3	-109639.30729252529	253.09642331216267	
322000	-109382.27706090063	2.3	-109636.47629205769	254.19923115706254	
323000	-109378.37519077145	2.3	-109630.1735243448	251.79833357335474	
324000	-109381.72433826083	2.3	-109634.48706898476	252.76273072393775	
325000	-109378.81840894677	2.3	-109630.82518909356	252.0067801467999	
326000	-109392.19539790979	2.3	-109642.80977049099	250.61437258119466	
327000	-109377.07737709094	2.3	-109630.83718993107	253.7598128401287	
328000	-109389.25706185722	2.3	-109643.33939790296	254.08233604574013	
329000	-109386.4515934834	2.3	-109640.09909866621	253.6475051827959	
330000	-109375.08314295944	2.3	-109631.66586850653	256.58272554709293	
331000	-109380.70155243394	2.3	-109635.18765804707	254.48610561313214	
332000	-109374.49302574196	2.3	-109627.76884426583	253.2758185238665	
333000	-109376.5114137761	2.3	-109628.11227599178	251.60086221568457	
334000	-109377.87623663736	2.3	-109628.19305052678	250.31681388942246	
335000	-109372.5909851078	2.3	-109627.16996632394	254.57898121613405	
336000	-109375.33979228408	2.3	-109626.41480044893	251.07500816483952	
337000	-109365.68438154674	2.3	-109621.39937399463	255.71499244788333	
338000	-109367.55328543372	2.3	-109624.3696984829	256.81641304917866	
339000	-109372.95248392965	2.3	-109626.5331804297	253.58069650004558	
340000	-109360.17953170536	2.3	-109614.46782029084	254.28828858548306	
341000	-109382.81731667455	2.3	-109636.39396597727	253.57664930271724	
342000	-109371.66465893094	2.3	-109623.80191220315	252.13725327221607	
343000	-109385.82152584115	2.3	-109638.1112982904	252.28977244924684	
344000	-109377.60055317295	2.3	-109632.71370475188	255.11315157893827	
345000	-109381.58034554626	2.3	-109631.94908072434	250.3687351780869	
346000	-109371.8699302978	2.3	-109624.0136419573	252.14371165948373	
347000	-109376.29362852985	2.3	-109629.31099033757	253.01736180771698	
348000	-109386.60809550084	2.3	-109638.94368994384	252.33559444301105	
349000	-109378.89099768296	2.3	-109631.62540521454	252.73440753158113	
350000	-109384.8047737779	2.3	-109640.18884669726	255.38407291935556	
351000	-109379.73957044505	2.3	-109632.5920381695	252.85246772446135	
352000	-109392.4646539919	2.3	-109643.1473252358	250.6826712438939	
353000	-109388.20594650072	2.3	-109640.46812502126	252.26217852054745	
354000	-109390.43091231467	2.3	-109641.75330034806	251.32238803339422	
355000	-109383.8228126822	2.3	-109636.50797022527	252.68515754306472	
356000	-109381.7973975884	2.3	-109633.85194900137	252.0545514129743	
357000	-109395.16079591803	2.3	-109647.9121042621	252.75130834407452	
358000	-109398.48582632208	2.3	-109651.4370533194	252.95122699731354	
359000	-109386.8525731596	2.3	-109639.90667836058	253.05410520097467	
360000	-109380.8123222688	2.3	-109633.1359879257	252.3236656569089	
361000	-109391.48907019805	2.3	-109641.92398079265	250.43491059459822	
362000	-109390.70324249065	2.3	-109646.16234842024	255.45910592959183	
363000	-109393.79043974931	2.3	-109644.71314810307	250.92270835376115	
364000	-109397.09535526442	2.3	-109649.29985457969	252.2044993152679	
365000	-109386.41962389679	2.3	-109641.67029905916	255.25067516237058	
