. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.54794   0.16700  -0.87202   0.15708  
      	     	          	           	          	           	             	                                      	 0.08321   0.94987   0.31235  -1.34543  

  #30	76   	-33285.17712	Yes        	4        	0.570    	0.000    	 0.19648   0.32016   0.30243   0.18094	-1.20806   0.28413   0.87754   0.04640  
      	     	          	           	          	           	             	                                      	 0.17437  -0.86293   0.20484   0.48373  
      	     	          	           	          	           	             	                                      	 0.57012   0.21684  -0.92647   0.13951  
      	     	          	           	          	           	             	                                      	 0.05038   0.85592   0.23318  -1.13949  

  #31	76   	-32440.31626	Yes        	4        	0.570    	0.000    	 0.19263   0.32384   0.31387   0.16965	-1.06363   0.31376   0.69302   0.05685  
      	     	          	           	          	           	             	                                      	 0.18663  -0.94678   0.17196   0.58818  
      	     	          	           	          	           	             	                                      	 0.42533   0.17742  -0.75868   0.15593  
      	     	          	           	          	           	             	                                      	 0.06455   1.12277   0.28848  -1.47580  

  #32	76   	-32030.82107	Yes        	4        	0.570    	0.000    	 0.19427   0.32368   0.29981   0.18225	-1.13282   0.24176   0.84852   0.04254  
      	     	          	           	          	           	             	                                      	 0.14510  -0.86515   0.17616   0.54388  
      	     	          	           	          	           	             	                                      	 0.54982   0.19019  -0.89633   0.15633  
      	     	          	           	          	           	             	                                      	 0.04535   0.96595   0.25717  -1.26846  

  #33	76   	-30705.30261	Yes        	4        	0.570    	0.000    	 0.18366   0.32864   0.31471   0.17299	-1.28483   0.31893   0.88695   0.07894  
      	     	          	           	          	           	             	                                      	 0.17823  -0.82948   0.15868   0.49257  
      	     	          	           	          	           	             	                                      	 0.51761   0.16571  -0.84221   0.15889  
      	     	          	           	          	           	             	                                      	 0.08381   0.93576   0.28905  -1.30862  

  #34	76   	-31310.25498	Yes        	4        	0.570    	0.000    	 0.17064   0.31743   0.32282   0.18910	-1.23669   0.25486   0.93122   0.05061  
      	     	          	           	          	           	             	                                      	 0.13700  -0.84675   0.18225   0.52750  
      	     	          	           	          	           	             	                                      	 0.49224   0.17920  -0.86868   0.19724  
      	     	          	           	          	           	             	                                      	 0.04567   0.88547   0.33671  -1.26785  

  #35	76   	-32223.52047	Yes        	4        	0.570    	0.000    	 0.20164   0.31223   0.31442   0.17170	-1.34698   0.20789   1.05875   0.08034  
      	     	          	           	          	           	             	                                      	 0.13426  -0.72359   0.17039   0.41895  
      	     	          	           	          	           	             	                                      	 0.67899   0.16921  -0.98935   0.14115  
      	     	          	           	          	           	             	                                      	 0.09435   0.76183   0.25848  -1.11466  

  #36	76   	-31678.05039	Yes        	4        	0.570    	0.000    	 0.18401   0.32914   0.31553   0.17132	-1.44730   0.30539   1.07052   0.07139  
      	     	          	           	          	           	             	                                      	 0.17072  -0.72466   0.15239   0.40155  
      	     	          	           	          	           	             	                                      	 0.62430   0.15897  -0.94605   0.16279  
      	     	          	           	          	           	             	                                      	 0.07668   0.77145   0.29980  -1.14792  

  #37	76   	-30515.03803	Yes        	4        	0.570    	0.000    	 0.17384   0.33520   0.30789   0.18307	-1.45395   0.26428   1.13440   0.05527  
      	     	          	           	          	           	             	                                      	 0.13706  -0.74167   0.18523   0.41938  
      	     	          	           	          	           	             	                                      	 0.64051   0.20166  -0.98696   0.14479  
      	     	          	           	          	           	             	                                      	 0.05248   0.76788   0.24350  -1.06386  

  #38	76   	-30998.68661	Yes        	4        	0.570    	0.000    	 0.18415   0.32273   0.30420   0.18893	-1.22866   0.26663   0.92822   0.03381  
      	     	          	           	          	           	             	                                      	 0.15214  -0.81020   0.16967   0.48838  
      	     	          	           	          	           	             	                                      	 0.56192   0.18001  -0.94367   0.20174  
      	     	          	           	          	           	             	                                      	 0.03296   0.83426   0.32483  -1.19204  

  #39	76   	-30831.43718	Yes        	4        	0.570    	0.000    	 0.18287   0.31819   0.32156   0.17738	-1.38024   0.26580   1.04208   0.07236  
      	     	          	           	          	           	             	                                      	 0.15276  -0.76652   0.16784   0.44592  
      	     	          	           	          	           	             	                                      	 0.59263   0.16609  -0.92137   0.16266  
      	     	          	           	          	           	             	                                      	 0.07460   0.79990   0.29487  -1.16936  

  #40	76   	-31017.44853	Yes        	4        	0.570    	0.000    	 0.19478   0.30556   0.31524   0.18442	-1.18401   0.29049   0.83024   0.06328  
      	     	          	           	          	           	             	                                      	 0.18517  -0.89069   0.18504   0.52047  
      	     	          	           	          	           	             	                                      	 0.51298   0.17936  -0.86302   0.17068  
      	     	          	           	          	           	             	                                      	 0.06683   0.86233   0.29175  -1.22091  

