. Sequence file : [run1snps.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #55	154   	-141964.24131	Yes        	4        	0.589    	0.000    	 0.18159   0.32488   0.32674   0.16679	-1.30178   0.30276   0.89603   0.10299  
      	     	          	           	          	           	             	                                      	 0.16923  -0.83692   0.19435   0.47334  
      	     	          	           	          	           	             	                                      	 0.49799   0.19325  -0.83412   0.14288  
      	     	          	           	          	           	             	                                      	 0.11213   0.92202   0.27992  -1.31407  

  #56	154   	-139169.70543	Yes        	4        	0.595    	0.000    	 0.18251   0.32471   0.32042   0.17237	-1.29801   0.27661   0.96153   0.05986  
      	     	          	           	          	           	             	                                      	 0.15548  -0.81219   0.17431   0.48241  
      	     	          	           	          	           	             	                                      	 0.54769   0.17664  -0.87995   0.15562  
      	     	          	           	          	           	             	                                      	 0.06338   0.90875   0.28928  -1.26142  

  #57	154   	-139455.30645	Yes        	4        	0.604    	0.000    	 0.17855   0.32413   0.32570   0.17163	-1.34493   0.26863   1.00068   0.07562  
      	     	          	           	          	           	             	                                      	 0.14798  -0.78157   0.19870   0.43489  
      	     	          	           	          	           	             	                                      	 0.54857   0.19774  -0.91365   0.16734  
      	     	          	           	          	           	             	                                      	 0.07867   0.82131   0.31756  -1.21754  

  #58	154   	-137378.34188	Yes        	4        	0.612    	0.000    	 0.18153   0.32223   0.33038   0.16586	-1.31512   0.24250   0.97356   0.09906  
      	     	          	           	          	           	             	                                      	 0.13661  -0.82092   0.21507   0.46924  
      	     	          	           	          	           	             	                                      	 0.53494   0.20977  -0.86808   0.12338  
      	     	          	           	          	           	             	                                      	 0.10842   0.91160   0.24575  -1.26577  

  #59	154   	-141121.22104	Yes        	4        	0.592    	0.000    	 0.18039   0.32979   0.31778   0.17204	-1.33508   0.26119   0.99056   0.08333  
      	     	          	           	          	           	             	                                      	 0.14286  -0.78309   0.18247   0.45776  
      	     	          	           	          	           	             	                                      	 0.56229   0.18936  -0.90278   0.15113  
      	     	          	           	          	           	             	                                      	 0.08738   0.87751   0.27916  -1.24405  

  #60	154   	-138142.71015	Yes        	4        	0.626    	0.000    	 0.18376   0.33260   0.31125   0.17239	-1.29085   0.26653   0.92884   0.09548  
      	     	          	           	          	           	             	                                      	 0.14725  -0.76825   0.19553   0.42546  
      	     	          	           	          	           	             	                                      	 0.54836   0.20895  -0.93805   0.18074  
      	     	          	           	          	           	             	                                      	 0.10177   0.82086   0.32633  -1.24896  

  #61	154   	-143061.38568	Yes        	4        	0.584    	0.000    	 0.18072   0.32267   0.32414   0.17247	-1.30333   0.28417   0.93976   0.07940  
      	     	          	           	          	           	             	                                      	 0.15915  -0.81476   0.21580   0.43981  
      	     	          	           	          	           	             	                                      	 0.52394   0.21482  -0.90203   0.16327  
      	     	          	           	          	           	             	                                      	 0.08320   0.82281   0.30686  -1.21286  

  #62	154   	-142352.64233	Yes        	4        	0.565    	0.000    	 0.17915   0.31724   0.33000   0.17361	-1.32738   0.28988   0.92618   0.11133  
      	     	          	           	          	           	             	                                      	 0.16369  -0.84317   0.20036   0.47912  
      	     	          	           	          	           	             	                                      	 0.50280   0.19262  -0.83676   0.14134  
      	     	          	           	          	           	             	                                      	 0.11488   0.87549   0.26865  -1.25902  

  #63	154   	-140878.72185	Yes        	4        	0.583    	0.000    	 0.18097   0.32967   0.31796   0.17140	-1.26057   0.22707   0.92997   0.10353  
      	     	          	           	          	           	             	                                      	 0.12465  -0.80307   0.19306   0.48536  
      	     	          	           	          	           	             	                                      	 0.52928   0.20017  -0.88112   0.15167  
      	     	          	           	          	           	             	                                      	 0.10931   0.93351   0.28136  -1.32418  

  #64	154   	-136510.65158	Yes        	4        	0.639    	0.000    	 0.17922   0.32120   0.32440   0.17518	-1.28034   0.25264   0.93066   0.09703  
      	     	          	           	          	           	             	                                      	 0.14096  -0.80625   0.19993   0.46536  
      	     	          	           	          	           	             	                                      	 0.51415   0.19796  -0.88735   0.17524  
      	     	          	           	          	           	             	                                      	 0.09927   0.85327   0.32452  -1.27706  

  #65	154   	-138636.37616	Yes        	4        	0.589    	0.000    	 0.17337   0.32591   0.32643   0.17429	-1.39591   0.27331   1.03119   0.09141  
      	     	          	           	          	           	             	                                      	 0.14539  -0.77714   0.18118   0.45057  
      	     	          	           	          	           	             	                                      	 0.54767   0.18088  -0.88815   0.15960  
      	     	          	           	          	           	             	                                      	 0.09093   0.84255   0.29892  -1.23239  

  #66	154   	-140449.18412	Yes        	4        	0.584    	0.000    	 0.18220   0.32663   0.31561   0.17556	-1.27084   0.25337   0.93795   0.07953  
      	     	          	           	          	           	             	                                      	 0.14134  -0.77862   0.18834   0.44894  
      	     	          	           	          	           	             	                                      	 0.54148   0.19492  -0.92744   0.19104  
      	     	          	           	          	           	             	                                      	 0.08253   0.83524   0.34344  -1.26121  

  #67	154   	-139590.98964	Yes        	4        	0.597    	0.000    	 0.17846   0.32552   0.32690   0.16912	-1.32674   0.28188   0.95465   0.09021  
      	     	          	           	          	           	             	                                      	 0.15454  -0.80629   0.20001   0.45175  
